hhid	gender1	work1	age1	driver1	gender2	work2	age2	driver2	age	comp	prov	sted	subzone	pc4	child	sec	num_cars	drivers
871427	1	0	4	0	999999	999999	999999	999999	4	0	4	2	180	7412	0	2	0	0
180248	0	2	0	0	999999	999999	999999	999999	0	1	1	1	35	9722	0	3	1	1
583582	0	2	1	0	1	0	1	0	1	3	3	5	116	9472	2	3	2	2
544401	1	0	2	0	999999	999999	999999	999999	2	0	3	5	109	9421	0	2	0	1
826186	1	0	3	0	999999	999999	999999	999999	3	0	4	5	170	7737	0	2	1	1
750384	0	0	2	0	1	0	2	0	2	2	4	4	156	8271	0	1	1	3
1010051	0	2	1	0	1	1	1	0	1	4	4	4	205	7581	0	3	1	2
266847	0	2	2	0	1	1	2	0	2	4	2	5	51	9101	0	3	2	2
347082	0	0	0	0	1	0	1	0	1	2	2	2	68	8924	3	2	0	0
472710	0	2	1	0	1	0	1	0	1	3	2	4	94	8483	2	3	1	2
615913	0	1	3	0	1	1	3	0	3	4	3	4	123	7824	0	3	2	2
717342	0	0	3	0	999999	999999	999999	999999	3	0	4	4	149	8331	0	3	1	1
515739	0	0	4	0	1	0	3	0	4	2	2	3	102	9202	0	0	1	1
652290	1	0	3	0	999999	999999	999999	999999	3	0	3	5	131	7841	0	3	1	1
951822	0	0	4	0	1	0	4	0	4	2	4	3	194	7604	0	1	1	1
860954	0	2	3	0	1	0	3	0	3	3	4	4	177	8107	0	2	1	2
475843	0	0	4	0	999999	999999	999999	999999	4	0	2	4	95	8471	0	2	0	0
698611	0	2	2	0	1	0	2	0	2	3	3	5	143	8381	0	3	1	2
29660	0	0	2	0	1	0	2	0	2	2	1	5	6	9665	0	3	1	2
635443	0	2	0	0	1	1	0	0	0	4	3	4	126	7891	1	2	1	2
847295	1	0	2	0	999999	999999	999999	999999	2	0	4	5	174	8141	0	3	0	0
762594	0	2	1	0	1	1	1	0	1	4	4	5	159	8064	1	2	1	2
934665	0	2	1	0	1	1	1	0	1	4	4	3	191	7462	0	3	1	1
312206	0	2	1	0	1	0	1	0	1	3	2	5	61	9079	3	3	2	2
800855	0	0	4	0	1	0	3	0	4	2	4	2	165	8043	0	0	0	0
836292	1	0	4	0	999999	999999	999999	999999	4	0	4	5	172	7691	0	3	1	1
622970	0	2	0	0	999999	999999	999999	999999	0	1	3	4	125	7894	0	3	1	1
658396	0	2	0	0	999999	999999	999999	999999	0	1	3	5	133	9411	0	3	1	1
193452	0	2	0	0	999999	999999	999999	999999	0	1	1	1	37	9725	0	3	1	1
1036220	0	2	1	0	1	0	1	0	1	3	4	2	209	7512	0	3	1	1
449019	0	0	3	0	1	0	3	0	3	2	2	4	89	8501	0	3	1	1
663623	0	0	4	0	999999	999999	999999	999999	4	0	3	5	134	9431	0	3	1	1
385182	0	0	3	0	1	0	2	0	3	2	2	4	75	8801	0	2	1	2
445236	0	0	2	0	1	1	2	0	2	3	2	4	88	8525	0	1	1	2
744518	0	0	0	0	1	0	0	0	0	2	4	2	155	8265	1	3	0	1
1000215	0	2	1	0	1	2	1	0	1	4	4	4	203	7622	0	3	2	2
210119	1	0	0	0	999999	999999	999999	999999	0	0	1	1	41	9737	3	2	1	1
131122	0	2	0	0	1	0	0	0	0	3	1	5	26	9617	2	3	1	1
